carving_id,stone,source,hc_recurve,hc_ring,hc_axe_note,area_px,perim_px,width_px,height_px,area_rel,perim_cm,width_cm,height_cm,circularity,aspect_ratio,roundness,solidity,lda_p_mushroom,rf_p_mushroom,mahal_dist_to_axe_centroid,mahal_dist_to_mushroom_centroid,nearest_centroid
s4_037,4,"Extracted (this study, from Stone4.tiff)",,,,11606.0,585.5046173579948,161.0,155.0,,,,,0.4254335949789313,1.1791524648241134,0.5844125473219044,0.6826255734619456,0.8543447540248734,0.8866666666666667,4.790304722668553,3.5482700310401754,mushroom
s4_038,4,"Extracted (this study, from Stone4.tiff)",,,,7070.0,448.9777054234135,117.0,136.0,,,,,0.4407372176578522,1.624266493935733,0.4291166052663452,0.705518411336194,0.001037236848384199,0.5666666666666667,3.33273781452952,4.069287983832483,axe
s4_039,4,"Extracted (this study, from Stone4.tiff)",,,,10445.0,509.6639969244288,123.0,164.0,,,,,0.5053012781956139,1.6371349018911807,0.4508462862600726,0.7760606285756743,0.0003503018948981194,0.5266666666666666,2.5548235721558097,3.72267795469249,axe
s4_040,4,"Extracted (this study, from Stone4.tiff)",,,,8990.0,531.4041122946064,130.0,161.0,,,,,0.4000550287880271,1.4017672698244696,0.488380755179193,0.686050061050061,0.0826593950161485,0.69,3.9930649969016194,4.100963495870877,axe
s4_041,4,"Extracted (this study, from Stone4.tiff)",,,,10686.0,609.1198410471445,148.0,190.0,,,,,0.3619257987948914,1.7132319362066863,0.3385335968455205,0.6021978021978022,0.00011575623957373632,0.69,5.234396694883663,5.23259005538339,mushroom
s4_042,4,"Extracted (this study, from Stone4.tiff)",,,,75932.0,1943.5849198858496,462.0,467.0,,,,,0.2525966936533067,1.2932116215864653,0.3904040767334784,0.5607934948781766,0.04908319306384259,0.81,6.636130247150212,6.479177060254399,mushroom
s4_043,4,"Extracted (this study, from Stone4.tiff)",,,,19428.0,764.5584412271571,231.0,189.0,,,,,0.4176539409104681,1.1577750735872705,0.5715083291926333,0.68252239592482,0.7766866319774901,0.7833333333333333,4.716300491656957,3.872077971969088,mushroom
s4_044,4,"Extracted (this study, from Stone4.tiff)",,,,16743.0,866.4579361637689,220.0,253.0,,,,,0.280251646911705,1.404280495595352,0.3618827228145757,0.507794492296494,0.004486631739644764,0.8533333333333334,6.408557189101327,6.3861355110252935,mushroom
s4_045,4,"Extracted (this study, from Stone4.tiff)",,,,6761.0,396.45079348883235,107.0,118.0,,,,,0.5405578979796879,1.3422064073537223,0.566020391922098,0.7670751077830724,0.03937579188258645,0.6033333333333334,2.9174932297335125,3.2471665546647,axe
s4_046,4,"Extracted (this study, from Stone4.tiff)",,,,18853.0,836.9015869776647,209.0,262.0,,,,,0.3382529156323888,1.7961461312802296,0.318609032160808,0.5845710210536107,0.00010532147134083799,0.7,5.503930744816174,5.207245699952071,mushroom
