carving_id,stone,source,hc_recurve,hc_ring,hc_axe_note,area_px,perim_px,width_px,height_px,area_rel,perim_cm,width_cm,height_cm,circularity,aspect_ratio,roundness,solidity,mahal_d_axe,mahal_d_mushroom,lda_p_mushroom,closer_to
F615.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,44199.0,1216.26407,285.0,400.0,,,,,0.37546249,2.44031034,0.40978395,0.64404211,,,,
F616.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,80804.0,1342.43059,343.0,400.0,,,,,0.56345475,1.32139038,0.75677863,0.82129989,,,,
F617.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,58955.0,1239.35952,307.0,400.0,,,,,0.48232069,1.56954169,0.63712867,0.74202034,,,,
F618.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,38998.0,1272.69048,278.0,400.0,,,,,0.30255659,2.36783475,0.42232677,0.59938368,,,,
F619.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,42849.0,1286.79098,336.0,400.0,,,,,0.32518802,1.78937209,0.55885526,0.55017848,,,,
F620.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,81365.0,1302.33009,361.0,400.0,,,,,0.60284456,1.23405851,0.81033435,0.83314134,,,,
F621.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,67861.0,1374.47222,391.0,400.0,,,,,0.4513965,1.55905846,0.64141277,0.70706218,,,,
F622.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,96884.0,1554.91587,479.0,400.0,,,,,0.50355641,1.23457289,0.80999673,0.75409606,,,,
F623 - 540wide.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,114138.0,1600.57987,540.0,400.0,,,,,0.55986771,1.21657938,0.82197678,0.79737603,,,,
F624.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,76252.0,1431.70267,413.0,400.0,,,,,0.46747182,1.33282016,0.75028877,0.71542366,,,,
F625.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,45846.0,1162.03867,256.0,400.0,,,,,0.42664843,2.00475559,0.49881392,0.72593977,,,,
F626.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,44429.0,1331.15137,325.0,400.0,,,,,0.31508049,1.74478183,0.57313756,0.55725717,,,,
F627-aligned.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,61350.0,1345.0824,362.0,400.0,,,,,0.42611484,1.4230307,0.70272553,0.69547178,,,,
F628.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,84399.0,1479.25902,436.0,400.0,,,,,0.48468403,1.33033422,0.75169081,0.73724439,,,,
F629.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,56978.0,1255.13413,312.0,400.0,,,,,0.45450304,1.67569187,0.59676843,0.72719615,,,,
F630.tif,unknown (Bevan All data — stone not tagged),Bevan All data (ImageJ),,,,116073.0,1367.62655,408.0,400.0,,,,,0.77984093,1.09619758,0.9122443,0.9666185,,,,
