Circularity,Aspect Ratio,Roundness,Solidity
0.46544173,2.74660596,0.36408572,0.77280165
0.5693495,1.89549117,0.52756775,0.83272069
0.57869282,1.78775567,0.55936055,0.86165039
0.5405264,2.03562952,0.49124852,0.81395414
0.64760148,1.64493999,0.60792491,0.92954228
0.41088664,2.24077371,0.44627443,0.74881267
0.42515621,2.48805636,0.40192016,0.68372674
0.40549142,2.44781495,0.40852761,0.73545281
0.44928477,2.89662109,0.34522983,0.73496909
0.43828203,2.66458468,0.37529301,0.72308072
0.52628164,2.43350674,0.41092962,0.80746137
0.55759914,2.27007685,0.44051372,0.85197688
0.37854874,1.13356032,0.88217626,0.65190616
0.32919562,1.38009065,0.72459009,0.66314698
0.30410635,1.10469096,0.90523054,0.56559795
0.32271658,3.58256046,0.27912997,0.68156372
0.33297139,1.36012566,0.73522618,0.65692755
0.32543896,2.34250767,0.42689295,0.57441868
0.50735851,1.85871628,0.53800572,0.75487131
0.6535716,2.1269669,0.47015306,0.94266265
0.45822825,1.57167386,0.63626432,0.71038994
0.50115099,2.21916654,0.45061963,0.77467497
0.41801277,1.30332127,0.76727053,0.6916938
0.54378215,1.4008383,0.71385827,0.77283803
0.1887152,2.03766079,0.49075882,0.44016396
0.37301261,2.5989189,0.38477538,0.65868819
0.16909112,5.5075099,0.18157026,0.4856668
0.53840525,1.34123052,0.74558399,0.7737114
0.35289695,1.91882648,0.52115187,0.60871844
0.37169352,1.1249676,0.88891449,0.63704784
0.37546249,2.44031034,0.40978395,0.64404211
0.56345475,1.32139038,0.75677863,0.82129989
0.48232069,1.56954169,0.63712867,0.74202034
0.30255659,2.36783475,0.42232677,0.59938368
0.32518802,1.78937209,0.55885526,0.55017848
0.60284456,1.23405851,0.81033435,0.83314134
0.4513965,1.55905846,0.64141277,0.70706218
0.50355641,1.23457289,0.80999673,0.75409606
0.55986771,1.21657938,0.82197678,0.79737603
0.46747182,1.33282016,0.75028877,0.71542366
0.42664843,2.00475559,0.49881392,0.72593977
0.31508049,1.74478183,0.57313756,0.55725717
0.42611484,1.4230307,0.70272553,0.69547178
0.48468403,1.33033422,0.75169081,0.73724439
0.45450304,1.67569187,0.59676843,0.72719615
0.77984093,1.09619758,0.9122443,0.9666185
0.41978979,2.45390569,0.40751362,0.69766715
0.50923246,2.08850747,0.47881083,0.83484099
0.37921302,1.51914985,0.65826291,0.66274105
0.5247628,1.5013142,0.66608309,0.75757766
0.35605344,1.65008527,0.60602929,0.60394089
0.43805738,1.37902653,0.72514921,0.69211741
0.50118653,2.15102457,0.46489474,0.80235202
0.34653893,2.14978334,0.46516315,0.62184397
0.47843346,2.00533795,0.49866907,0.760052
0.38674409,1.36194573,0.73424364,0.6418177
0.52620102,1.0954941,0.91283011,0.77763488
0.350984,1.57577845,0.63460698,0.60376509
0.5332245,1.15028979,0.86934615,0.76670169
0.47708013,1.17716372,0.84949951,0.72195408
0.32514851,1.73978626,0.57478325,0.66736752
0.43732236,1.04060377,0.96098057,0.69365968
0.43225171,1.96092263,0.50996403,0.72033236
0.46606613,2.02027328,0.49498254,0.75460025
0.44326766,1.96436256,0.50907099,0.74189303
0.4552582,1.47229906,0.67920983,0.70660601
0.50104959,1.49362503,0.66951208,0.75248386
0.43926217,1.35614224,0.73738578,0.7068342
0.44743131,1.1929792,0.83823758,0.75441643
0.53525502,1.94910757,0.51305532,0.84336673
0.46725976,1.40138695,0.71357878,0.72067522
0.4302918,1.33598881,0.74850926,0.69720917
0.57378004,1.14377648,0.87429669,0.81401611
0.3710006,1.41535578,0.70653613,0.63477941
0.50356338,1.38440258,0.72233324,0.78826699
0.39158742,1.25889427,0.79434788,0.67086786
0.39791312,1.62557442,0.61516716,0.72342206
0.51115559,1.64175038,0.609106,0.78369312
0.35229123,1.71219139,0.58404686,0.59942597
0.38115428,1.4067335,0.7108667,0.68038278
0.32699141,1.72613555,0.57932878,0.62085374
0.47761835,1.22965769,0.81323445,0.73308767
0.47331391,2.23192059,0.44804462,0.76931881
